gen 24 13:27:28|5[info]24/01/2015 13:27:28 - [UTENTE = ][REMOTE IP = 66.249.78.48][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 14:04:48|5[info]24/01/2015 14:04:48 - [UTENTE = ][REMOTE IP = 66.249.78.48][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 14:05:20|5[info]24/01/2015 14:05:20 - [UTENTE = ][REMOTE IP = 66.249.64.119][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 14:07:37|5[info]24/01/2015 14:07:37 - [UTENTE = ][REMOTE IP = 66.249.78.48][act = ProductInfo][id_giacenza = 56][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 24 14:28:52|5[info]24/01/2015 14:28:52 - [UTENTE = ][REMOTE IP = 95.242.190.32][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:29:35|5[info]24/01/2015 14:29:35 - [UTENTE = ][REMOTE IP = 95.242.190.32][act = Contatti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:30:29|5[info]24/01/2015 14:30:29 - [UTENTE = ][REMOTE IP = 95.242.190.32][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:30:33|5[info]24/01/2015 14:30:33 - [UTENTE = ][REMOTE IP = 95.242.190.32][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:30:35|5[info]24/01/2015 14:30:35 - [UTENTE = ][REMOTE IP = 95.242.190.32][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:30:39|5[info]24/01/2015 14:30:39 - [UTENTE = ][REMOTE IP = 95.242.190.32][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:31:07|5[info]24/01/2015 14:31:07 - [UTENTE = ][REMOTE IP = 95.242.190.32][act = Contatti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:31:16|5[info]24/01/2015 14:31:16 - [UTENTE = ][REMOTE IP = 95.242.190.32][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:31:29|5[info]24/01/2015 14:31:29 - [UTENTE = danix67][REMOTE IP = 95.242.190.32][act = MyAccount][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:31:44|5[info]24/01/2015 14:31:44 - [UTENTE = danix67][REMOTE IP = 95.242.190.32][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:32:29|5[info]24/01/2015 14:32:29 - [UTENTE = danix67][REMOTE IP = 95.242.190.32][act = Search][gm = 10][rowForPage = 100][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:32:35|5[info]24/01/2015 14:32:35 - [UTENTE = danix67][REMOTE IP = 95.242.190.32][act = Search][gm = 10][rowForPage = 100][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
gen 24 14:32:41|5[info]24/01/2015 14:32:41 - [UTENTE = danix67][REMOTE IP = 95.242.190.32][act = Search][gm = 10][rowForPage = 100][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36]
